name,group,epoch,country,sex,year_from,year_to,haplogroup,fasta_url
I5076,CAIB,Copper Age,Portugal,F,-3335,-3026,H1,/static_md5/data/fasta/I5076.fa
arm46,BACA,Bronze Age,Armenia,U,-1800,-1600,HV1a1,/static_md5/data/fasta/arm46.fa
KZ3,LDN,Neolithic,Poland,U,-4400,-3900,H3d,/static_md5/data/fasta/KZ3.fa
I3313,BABA,Bronze Age,Croatia,F,-805,-761,HV0e,/static_md5/data/fasta/I3313.fa
Kivutkalns19,BABL,Bronze Age,Latvia,M,-730,-400,H10a,/static_md5/data/fasta/Kivutkalns19.fa
MX191,CWC,Neolithic,Switzerland,M,-2570,-2190,H3+16189,/static_md5/data/fasta/MX191.fa
SCY303,SCU,Iron Age,Moldova,F,-400,-200,U5a1a2b,/static_md5/data/fasta/SCY303.fa
NLHBAL149-B25,MAHu,Middle Ages,Hungary,U,450,500,None,
MX192,CWC,Neolithic,Switzerland,M,-2571,-2513,H11a+152,/static_md5/data/fasta/MX192.fa
I5429,CAIB,Copper Age,Portugal,M,-3010,-2887,J2b1a3,/static_md5/data/fasta/I5429.fa
I2163,BABA,Bronze Age,Bulgaria,M,-1750,-1625,U5a2,/static_md5/data/fasta/I2163.fa
arm48,IACA,Iron Age,Armenia,U,-700,-500,I4,/static_md5/data/fasta/arm48.fa
MX193,CWC,Neolithic,Switzerland,F,-2213,-2031,K1a+195,/static_md5/data/fasta/MX193.fa
SCY332,SCU,Iron Age,Moldova,F,-400,-200,M10a1a1a,/static_md5/data/fasta/SCY332.fa
I2165,BABA,Bronze Age,Bulgaria,M,-3020,-2895,T2f,/static_md5/data/fasta/I2165.fa
LIFART87-34A,LONG,Middle Ages,Italy,U,570,700,None,
arm49,IACA,Iron Age,Armenia,U,-700,-500,I4,/static_md5/data/fasta/arm49.fa
LICOL151,LONG,Middle Ages,Italy,U,570,800,T2b,/static_md5/data/fasta/LICOL151.fa
Bul10,BABA,Bronze Age,Bulgaria,F,-3090,-2924,None,
LIFART38-35B,LONG,Middle Ages,Italy,U,570,700,V,
arm5,BACA,Bronze Age,Armenia,U,-3000,-2800,J1b1b1,/static_md5/data/fasta/arm5.fa
NLHBAL268C,MAHu,Middle Ages,Hungary,U,450,500,None,
I8202,CLIB,Classical Age,Spain,M,100,300,K2b1,/static_md5/data/fasta/I8202.fa
arm52,CACA,Copper Age,Armenia,U,-4486,-4320,U8b1a1,/static_md5/data/fasta/arm52.fa
MX194,CWC,Neolithic,Switzerland,F,-2489,-2344,U2e2a1d,/static_md5/data/fasta/MX194.fa
Jan1,HGC,Mesolithic,Poland,M,-5644,-5374,U5b1b1,/static_md5/data/fasta/Jan1.fa
arm7,NECA,Neolithic,Armenia,U,-5900,-5600,H2+152,/static_md5/data/fasta/arm7.fa
LIFART35-13A,LONG,Middle Ages,Italy,U,570,700,None,
NHP1,LDN,Neolithic,Poland,U,-4600,-3600,H5,/static_md5/data/fasta/NHP1.fa
LIFART45-45C,LONG,Middle Ages,Italy,U,570,700,None,
I4331,BABA,Bronze Age,Croatia,M,-1631,-1521,I1a1,/static_md5/data/fasta/I4331.fa
MX195,CWC,Neolithic,Switzerland,M,-2470,-2050,H11a+152,/static_md5/data/fasta/MX195.fa
LIFART60-30A,LONG,Middle Ages,Italy,U,570,700,None,
LIFART82-8B,LONG,Middle Ages,Italy,U,570,700,None,
NLHFON336,MAHu,Middle Ages,Hungary,U,500,600,None,
I4332,BABA,Bronze Age,Croatia,F,-1618,-1513,W3a1,/static_md5/data/fasta/I4332.fa
arm9,NECA,Neolithic,Armenia,U,-5900,-5600,H15a1,/static_md5/data/fasta/arm9.fa
RISE396,IACA,Iron Age,Armenia,F,-1192,-937,H6b,/static_md5/data/fasta/RISE396.fa
I7691,BAIB,Bronze Age,Portugal,M,-2200,-1700,J1c1,/static_md5/data/fasta/I7691.fa
PCA0018,MAPl,Middle Ages,Poland,M,10,375,HV18,/static_md5/data/fasta/PCA0018.fa
